ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
North East,E06000001,Hartlepool,10001,10574,10773,10846,11459,12061,12533,13001,13558,14211,14474,14041,14359,14926,15268,15726,15504,16358,17647,17841,17552,17905,17986,17512,18951
North East,E06000004,Stockton-on-Tees,15843,16434,16793,16942,17741,18936,20397,20992,22399,23541,23716,24227,24216,24348,24563,25381,26137,27614,27989,27572,28059,29573,29017,31393,33544
North East,E06000002,Middlesbrough,11804,12407,12836,13083,13699,14628,15851,16898,17941,18511,19024,19257,19001,19588,19881,19824,20335,21102,21907,22988,24478,24294,22102,24821,26247
North East,E06000003,Redcar and Cleveland,10394,10657,10982,10860,11244,12323,12570,12916,13149,13429,14307,13960,14676,15035,15193,15366,15981,16463,16046,15109,15777,16199,15801,16091,17727
North East,E06000005,Darlington,16876,17542,18910,20040,21204,22441,23831,23541,23698,23198,24147,22607,23303,23992,24238,24517,27011,28498,27123,27017,26832,26554,24184,26372,27730
North East,E06000047,County Durham,10831,11427,11793,12183,12809,13638,14639,15197,16096,16667,17136,17099,17243,17199,17592,17802,17873,18143,18274,18838,19812,20565,20278,21603,23169
North East,E06000057,Northumberland,11303,11400,11627,12084,12920,13360,14258,14773,15472,15802,16162,15663,16202,16723,16954,17127,17648,18027,18594,19030,19356,20306,18874,20173,22656
North East,E08000021,Newcastle upon Tyne,17229,17428,18222,19730,21168,22358,24640,25961,27321,27559,27596,27133,27992,29081,30008,30111,30640,32387,33199,34639,34365,35311,32164,36424,39702
North East,E08000022,North Tyneside,12170,12500,12756,13790,15159,15785,17046,17732,18160,18595,19131,18296,18829,19495,20016,20071,20874,21754,22471,24343,25266,25424,23875,25800,28688
North East,E08000023,South Tyneside,8517,8647,8932,9290,9741,10248,11098,11659,12164,12402,12714,11954,12556,13097,14335,14619,15414,15450,15011,15285,15411,16022,14357,15950,16624
North East,E08000037,Gateshead,14976,15249,15784,16572,17608,18395,19931,21051,22029,22348,22120,21015,21797,22838,23375,22309,22553,22765,23327,23629,24040,26359,23206,26175,27287
North East,E08000024,Sunderland,13561,13508,14138,14995,16167,16961,18664,19641,20685,20934,21597,21758,21779,22308,22937,24932,25711,26479,26854,28214,28192,29667,26179,27304,29623
North West,E06000063,Cumberland,15494,16451,15947,16271,16927,17822,17953,19223,20400,20717,22221,21656,22326,22068,22584,23954,25226,25714,25531,25601,25462,26236,23368,25043,27305
North West,E06000064,Westmorland and Furness,14852,15023,15578,15455,16659,17920,18701,19029,20465,21254,22437,21691,22356,22725,24027,24329,25361,26666,27151,28628,28908,30948,28887,31200,33242
North West,E08000003,Manchester,23003,24263,24630,26338,27566,28511,30279,31868,33480,34941,35085,35479,36072,35872,37281,38025,38987,40330,42086,45744,46927,49888,48127,53214,59136
North West,E08000006,Salford,16450,17419,17754,18828,19631,20547,22261,23866,25008,26126,26198,25769,26046,26164,27611,29888,31504,31413,30339,30903,32705,33923,34685,36854,39925
North West,E08000009,Trafford,21974,23201,24358,26089,27380,28327,29127,30271,31402,32590,32968,31755,31919,32110,32947,34178,34603,36780,38091,40320,42304,43030,42828,46572,49997
North West,E08000007,Stockport,13984,14818,15437,16119,16863,17697,18473,19332,20203,21197,21875,21908,22046,21948,22708,22979,22959,22989,23866,25468,26344,26536,26810,28197,31361
North West,E08000008,Tameside,10453,11126,11520,11853,12305,12737,13115,13923,14268,14839,14880,14551,14787,15059,15448,15952,16411,16535,16406,17397,17661,17719,17432,17943,18977
North West,E08000001,Bolton,12776,13345,13462,14191,14590,15129,15902,16761,17378,17983,17874,17808,18093,18274,19042,19875,20228,20906,21489,22326,23380,23139,23501,24518,25965
North West,E08000010,Wigan,10534,11074,11482,12029,12428,12902,13370,13970,14451,14939,14618,14121,14356,14627,15154,16067,16490,17453,17895,18516,18687,18557,18633,19993,21487
North West,E08000002,Bury,11287,11846,12251,12872,13640,14195,14844,15557,16211,16929,16921,16512,16937,17243,17788,18256,18053,18964,19244,19540,19965,21073,20661,21342,22333
North West,E08000004,Oldham,10766,11294,11609,11988,12495,12814,13522,14242,14792,15312,15519,15075,15357,15667,15936,16448,17100,17699,17978,19195,19231,19957,18631,19599,21258
North West,E08000005,Rochdale,11334,11993,12223,12692,13068,13468,14153,14727,14998,15674,15644,15277,15813,16010,16953,17529,17727,18110,18163,18484,19142,19767,19083,20025,21779
North West,E06000008,Blackburn with Darwen,12552,13172,13328,13603,14178,15188,15844,16166,16507,17159,17562,16849,17649,18222,19068,19543,20440,21521,22342,22605,22927,23410,22763,25280,28019
North West,E06000009,Blackpool,10394,10826,11085,11630,12282,13262,14223,14725,15113,15460,15585,14938,15798,16215,16624,16871,17581,18414,19346,20415,21324,22927,21483,22815,25725
North West,E07000121,Lancaster,13234,13559,13308,13606,14665,16208,17275,18562,19781,20625,20886,18761,18693,18964,19590,20914,21223,22531,22443,22832,22956,24054,23818,24594,26739
North West,E07000128,Wyre,9777,10189,10390,10560,11050,11974,12476,12665,12834,13099,13590,12963,13516,14083,14477,15013,15538,17624,17966,17998,18692,19363,17389,18940,20801
North West,E07000119,Fylde,25339,27487,28992,30547,30720,33163,36086,37704,37910,39122,39882,36296,35471,35483,36050,36492,33248,35202,37508,38828,35963,36847,33704,36146,38158
North West,E07000123,Preston,18610,19537,20108,21019,22319,23730,24833,25213,25766,26869,26526,26600,27652,27825,29158,28762,30210,31627,33692,33653,33972,34683,31607,34518,36831
