Area,mnemonic,2016,2017,2018,2019,2020,2021,2022
ualad19:Darlington,E06000005,20662,21087,21345,21678,21867,22271,22704
ualad19:County Durham,E06000047,104862,106188,107820,109558,110417,111995,113708
ualad19:Hartlepool,E06000001,17302,17504,17755,17958,18082,18336,18738
ualad19:Middlesbrough,E06000002,22541,22920,23200,23658,23879,24371,24856
ualad19:Northumberland,E06000057,73910,75626,76949,79011,80358,82281,84185
ualad19:Redcar and Cleveland,E06000003,29537,29972,30536,31150,31466,31937,32381
ualad19:Stockton-on-Tees,E06000004,34330,34923,35566,36295,36796,37518,38478
ualad19:Gateshead,E08000037,38611,38880,39078,39481,39719,39983,40360
ualad19:Newcastle upon Tyne,E08000021,42129,42620,43175,43865,44171,44869,45645
ualad19:North Tyneside,E08000022,39789,40400,41070,41964,42492,43213,43882
ualad19:South Tyneside,E08000023,29432,29640,29918,30447,30628,31060,31516
ualad19:Sunderland,E08000024,52682,53534,54306,55332,55794,56639,57616
ualad19:Blackburn with Darwen,E06000008,21311,21557,21881,22180,22410,22550,22750
ualad19:Blackpool,E06000009,28745,28802,28781,28961,28969,29362,29465
ualad19:Cheshire East,E06000049,83371,84683,85947,87482,88246,89990,91374
ualad19:Cheshire West and Chester,E06000050,70194,71320,72868,74130,74867,76302,77694
ualad19:Halton,E06000006,22074,22524,22956,23424,23653,24176,24500
ualad19:Warrington,E06000007,37574,38215,38766,39525,39867,40362,41115
ualad19:Allerdale,E07000026,22703,22911,23213,23573,23756,24031,24352
ualad19:Barrow-in-Furness,E07000027,14223,14288,14351,14519,14502,14573,14695
ualad19:Carlisle,E07000028,22414,22708,23093,23472,23675,24013,24588
ualad19:Copeland,E07000029,15038,15049,15131,15328,15452,15643,15903
ualad19:Eden,E07000030,13444,13618,13805,14075,14329,14518,14713
ualad19:South Lakeland,E07000031,28230,28476,28739,29249,29310,29469,29863
ualad19:Bolton,E08000001,48097,48720,49433,50246,50576,51003,51415
ualad19:Bury,E08000002,33722,34255,34800,35237,35380,35637,35758
ualad19:Manchester,E08000003,50113,50500,50936,51480,51774,52606,53502
ualad19:Oldham,E08000004,36843,37295,37933,38446,38567,38821,39026
ualad19:Rochdale,E08000005,34615,35167,35708,36387,36694,37062,37500
ualad19:Salford,E08000006,35778,35848,35908,36122,35957,36040,36299
ualad19:Stockport,E08000007,57014,57532,57995,58686,58905,59604,60194
