Code,Name,Geography,Area (sq km),Estimated population mid-2020,2020 people per sq. km,Estimated Population mid-2019,2019 people per sq. km,Estimated Population mid-2018,2018 people per sq. km,Estimated Population mid-2017,2017 people per sq. km,Estimated Population mid-2016,2016 people per sq. km,Estimated Population mid-2015,2015 people per sq. km,Estimated Population mid-2014,2014 people per sq. km,Estimated Population mid-2013,2013 people per sq. km,Estimated Population mid-2012,2012 people per sq. km,Estimated Population mid-2011,2011 people per sq. km,Estimated Population mid-2010,2010 people per sq. km,Estimated Population mid-2009,2009 people per sq. km,Estimated Population mid-2008,2008 people per sq. km,Estimated Population mid-2007,2007 people per sq. km,Estimated Population mid-2006,2006 people per sq. km,Estimated Population mid-2005,2005 people per sq. km,Estimated Population mid-2004,2004 people per sq. km,Estimated Population mid-2003,2003 people per sq. km,Estimated Population mid-2002,2002 people per sq. km,Estimated Population mid-2001,2001 people per sq. km
K02000001,UNITED KINGDOM,Country,242741.4293,67081234,276.348517,66796807,275.1767887,66435550,273.6885508,66040229,272.0599825,65648054,270.4443744,65110034,268.2279419,64596752,266.1134203,64105654,264.0902881,63705030,262.4398735,63285145,260.7101111,62759456,258.5444775,62260486,256.4889157,61823772,254.6898244,61319075,252.6106696,60827067,250.5837886,60413276,248.8791311,59950364,246.9721142,59636662,245.6797843,59365677,244.5634318,59113016,243.5225671
K03000001,GREAT BRITAIN,Country,228948.4787,65185724,284.7178735,64903140,283.4836046,64553909,281.9582352,64169395,280.2787569,63785917,278.6038036,63258413,276.2997743,62756254,274.1064468,62275929,272.0084857,61881396,270.2852465,61470827,268.4919653,60954623,266.2372921,60467153,264.1081231,60044620,262.2625856,59557392,260.1344737,59083954,258.0665936,58685543,256.326416,58236322,254.3643108,57931738,253.0339504,57668143,251.8826215,57424178,250.8170324
K04000001,ENGLAND AND WALES,Country,151047.0106,59719724,395.3717704,59439840,393.5188109,59115809,391.3735781,58744595,388.9159724,58381217,386.5102445,57885413,383.2277962,57408654,380.0714345,56948229,377.0232113,56567796,374.5045716,56170927,371.8771181,55692423,368.7092037,55235253,365.6825301,54841720,363.0771624,54387392,360.0693041,53950854,357.1792238,53575343,354.6931699,53152022,351.8905921,52863238,349.9787105,52602143,348.2501427,52359978,346.6469001
E92000001,ENGLAND,Country,130310.4928,56550138,433.9645779,56286961,431.9449631,55977178,429.5676948,55619430,426.8223441,55268067,424.1259918,54786327,420.4291291,54316618,416.824592,53865817,413.3651546,53493729,410.509759,53107169,407.5433057,52642452,403.9770771,52196381,400.5539376,51815853,397.6337737,51381093,394.2974345,50965186,391.1057729,50606034,388.3496479,50194600,385.192312,49925517,383.1273747,49679267,381.2376573,49449746,379.476318
E12000001,NORTH EAST,Region,8580.774,2680763,312.4150572,2669941,311.1538656,2657909,309.7516611,2644727,308.215436,2636589,307.2670367,2624579,305.8673961,2618736,305.1864552,2610563,304.233977,2602387,303.2811492,2596441,302.5882047,2586868,301.4725711,2575441,300.1408731,2569312,299.4266018,2562045,298.5797085,2552568,297.4752627,2547127,296.8411707,2540502,296.0690959,2540461,296.0643177,2540600,296.0805167,2540090,296.0210815
E06000047,County Durham,Unitary Authority,2225.8859,533149,239.5221606,530094,238.1496734,526980,236.7506798,523662,235.2600374,521776,234.4127343,519347,233.3214834,517573,232.5244973,515923,231.7832194,514261,231.0365504,512994,230.4673389,510628,229.4043913,507311,227.9141981,505617,227.1531528,502960,225.9594708,499348,224.3367461,497218,223.3798237,495147,222.4494077,493931,221.9031083,493538,221.7265494,493678,221.7894457
E06000005,Darlington,Unitary Authority,197.4758,107402,543.8742367,106803,540.8409537,106566,539.6408066,106347,538.53181,106327,538.4305317,105998,536.7645048,105877,536.1517715,105726,535.3871209,105503,534.2578686,105584,534.6680454,105028,531.8525105,104355,528.444498,103694,525.0972524,102632,519.7193783,101509,514.0326055,100287,507.8445055,99343,503.0641729,98911,500.8765631,98474,498.6636337,97894,495.726565
E06000001,Hartlepool,Unitary Authority,93.7125,93836,1001.31786,93663,999.4717887,93242,994.9793251,93019,992.5997065,92845,990.7429639,92498,987.0401494,92606,988.1926104,92662,988.7901827,92261,984.5111378,92088,982.665066,91773,979.3037215,91530,976.7106843,91379,975.0993731,90969,970.7242897,90781,968.7181539,90457,965.260771,90317,963.7668401,90134,961.814059,89993,960.3094571,90152,962.0061358
E06000002,Middlesbrough,Unitary Authority,53.8816,141285,2622.13817,140980,2616.47761,140545,2608.404353,140639,2610.148919,140326,2604.339886,139310,2585.483727,138991,2579.563339,138911,2578.078602,138726,2574.645148,138368,2568.00095,137667,2554.990943,137273,2547.678614,137885,2559.036851,138190,2564.697411,138169,2564.307667,138517,2570.766273,138451,2569.541365,139050,2580.658332,140090,2599.959912,141233,2621.173091
E06000057,Northumberland,Unitary Authority,5019.8289,323820,64.50817477,322434,64.23206974,320274,63.80177619,319030,63.55395898,317444,63.23801196,316453,63.04059487,316832,63.11609545,316389,63.02784543,316489,63.04776643,316278,63.00573312,315463,62.84337699,314489,62.64934647,314057,62.56328776,312960,62.34475442,311375,62.02900661,310752,61.90489879,310140,61.78298228,309448,61.64512898,308499,61.45607871,307363,61.22977618
